query,priority
I was asked to submit documents twice but still no confirmation.,High
I submitted all documents but my application still shows incomplete.,High
What is the fee structure for the new academic year?,Medium
There is a spelling mistake in my name on the hall ticket.,High
The orientation program was well-organised.,Low
I was denied entry to the hostel without any valid reason.,High
What are the accepted modes of fee payment?,Medium
I reported a maintenance issue 28 weeks ago but it is still unresolved.,High
What items are allowed and not allowed in the hostel?,Medium
How is the scholarship amount disbursed?,Medium
What is the monthly hostel fee for postgraduate students?,Medium
What documents are needed for placement registration?,Medium
Can I apply for multiple scholarships simultaneously?,Medium
What documents are required for the admission process?,Medium
What documents are required for the admission process?,Medium
The exam schedule was shared well in advance this time.,Low
The seat allotment letter has not been issued after 28 days of payment.,High
The student affairs office handled my case professionally.,Low
"My admit card was generated on time, thank you.",Low
The hostel room was clean and well-maintained on arrival.,Low
The scholarship cell staff helped me complete my application.,Low
The admission process was smooth and well-organised this year.,Low
The anti-ragging cell responded to my complaint immediately.,Low
The anti-ragging cell responded to my complaint immediately.,Low
What is the minimum CGPA required for placement registration?,Medium
The placement cell has not updated the company list for this year.,High
The scholarship amount was not credited to my account this semester.,High
How do I apply for a room change?,Medium
I was removed from the placement list due to a clerical error.,High
I appreciate the quick action taken on my grievance.,Low
"My admit card was generated on time, thank you.",Low
The examination fee was deducted but the form was not submitted.,High
The orientation program was well-organised.,Low
Is there a provision for sports quota admission?,Medium
I was marked absent in the exam even though I was present.,High
"Result was declared faster than expected, appreciated.",Low
What clubs and societies are active this semester?,Medium
"My refund was processed within 4 working days, thank you.",Low
My seat allotment was updated within 2 hours as promised.,Low
I submitted all documents but my admission status still shows incomplete.,High
I appreciate the extended fee deadline during exam time.,Low
How is the scholarship amount disbursed?,Medium
What happens if I miss the fee deadline?,Medium
I paid the fee online but the portal still shows dues pending.,High
The challan generated has incorrect details.,High
The placement training sessions were very useful.,Low
My ID card has not been issued even after 7 weeks of joining.,High
What are the accepted modes of fee payment?,Medium
The scholarship amount was not credited to my account this semester.,High
I paid the fee online but the portal still shows dues pending.,High
The transport bus schedule has changed without any notice.,High
How do I file a formal complaint against a faculty member?,Medium
I appreciate the timely maintenance work done in my room.,Low
Is there a government scholarship tie-up with this university?,Medium
I have not received my offer letter even after 22 months of selection.,High
What is the last date for fee payment this semester?,Medium
I missed the registration deadline because no reminder was sent.,High
The placement cell has not updated the company list for this year.,High
What is the last date for fee payment this semester?,Medium
I reported a maintenance issue 11 weeks ago but it is still unresolved.,High
The fee portal worked smoothly and I received the receipt instantly.,Low
What clubs and societies are active this semester?,Medium
How do I download my admit card from the portal?,Medium
My ID card has not been issued even after 15 weeks of joining.,High
How many attempts are allowed for a backlog paper?,Medium
Can I pay the fee in installments?,Medium
Is laundry service available in the hostel?,Medium
The renewal form for scholarship is not available on the portal.,High
"I received my ID card within 10 days, thank you.",Low
I cannot find any information about the upcoming event.,High
Admission office is not responding to my emails for 24 days.,High
What is the fee structure for international students?,Medium
My ID card has not been issued even after 3 weeks of joining.,High
The admission process was smooth and well-organised this year.,Low
My grade sheet shows incorrect marks for the third semester.,High
The notice board has outdated information.,High
When will the second merit list be published?,Medium
I appreciate the quick action taken on my grievance.,Low
Thank you for processing my scholarship renewal on time.,Low
Is there an EMI option available for fee payment?,Medium
"My scholarship was approved quickly, I am very grateful.",Low
The hostel room allotted to me is not clean.,High
My application was rejected without any reason given.,High
What are the library timings on weekends?,Medium
The staff at the admission office was very helpful.,Low
What scholarships are available for meritorious students?,Medium
What is the monthly hostel fee for postgraduate students?,Medium
What was the highest package offered last year?,Medium
The finance staff resolved my billing error quickly.,Low
What is the process for obtaining a migration certificate?,Medium
The exam schedule was shared well in advance this time.,Low
What is the process to apply for revaluation?,Medium
I was removed from the placement list due to a clerical error.,High
What are the accepted modes of fee payment?,Medium
When will campus placements begin this year?,Medium
What is the renewal process for continuing scholarship?,Medium
The online payment system is very convenient.,Low
The orientation program was well-organised.,Low
Is there a training program before placements?,Medium
I reported a maintenance issue 26 weeks ago but it is still unresolved.,High
The placement cell kept us informed about every drive.,Low
My merit list position was not updated even after re-verification.,High
Is there a provision for sports quota admission?,Medium
What is the fee structure for the new academic year?,Medium
How do I download my fee receipt from the portal?,Medium
What are the transport routes available for students?,Medium
I was wrongly penalised for something I did not do.,High
I was asked to submit documents twice but still no confirmation.,High
The online payment system is very convenient.,Low
My seat allotment was updated within 16 hours as promised.,Low
What is the fee structure for the new academic year?,Medium
I was asked to pay the fee again even after showing the receipt.,High
The placement training sessions were very useful.,Low
My profile on the placement portal shows incorrect CGPA.,High
The company I was placed in has deferred joining by 12 months.,High
The campus facilities have improved a lot this year.,Low
Admission office is not responding to my emails for 28 days.,High
"I received my ID card within 18 days, thank you.",Low
How do I download my fee receipt from the portal?,Medium
"My scholarship was approved quickly, I am very grateful.",Low
What are the library timings on weekends?,Medium
I appreciate the quick action taken on my grievance.,Low
I am being harassed by a senior student and no action is being taken.,High
When will semester results be declared?,Medium
The orientation program was well-organised.,Low
When will semester results be declared?,Medium
My admission application has been pending for 9 weeks with no update.,High
Are there any internship opportunities through the placement cell?,Medium
There is a case of ragging in my hostel block.,High
My ID card has not been issued even after 12 weeks of joining.,High
The scholarship portal is not accepting my Aadhaar number.,High
What is the exam form fill-up last date?,Medium
The campus facilities have improved a lot this year.,Low
I missed the counselling round due to no notification from the portal.,High
Power cuts in the hostel are happening every day.,High
The common bathroom tiles are broken and pose a safety risk.,High
The examination fee was deducted but the form was not submitted.,High
The staff at the admission office was very helpful.,Low
What are the hostel rules for late-night entry?,Medium
How do I access the university Wi-Fi?,Medium
Is laundry service available in the hostel?,Medium
When is the scholarship application portal open?,Medium
The student affairs office handled my case professionally.,Low
The orientation program was well-organised.,Low
What is the anti-ragging policy of the university?,Medium
The hostel room allotted to me is not clean.,High
I appreciate the quick action taken on my grievance.,Low
Thank you for processing my scholarship renewal on time.,Low
The anti-ragging cell responded to my complaint immediately.,Low
The orientation program was well-organised.,Low
My email ID was not created even after 12 weeks of registration.,High
Is there a student ombudsman at this university?,Medium
I have not received my offer letter even after 12 months of selection.,High
I was asked to pay the fee again even after showing the receipt.,High
What is the process for obtaining a migration certificate?,Medium
My transaction failed but the amount was debited from my account.,High
A faculty member is giving biased marks to certain students.,High
"Thank you, my admission documents were verified quickly.",Low
My profile on the placement portal shows incorrect CGPA.,High
"There are insects in the mess food, this is unacceptable.",High
My complaint was taken seriously and resolved within 25 days.,Low
My result shows fail but I had submitted all answers correctly.,High
The orientation program was well-organised.,Low
Admission office is not responding to my emails for 21 days.,High
What is the renewal process for continuing scholarship?,Medium
The student affairs office handled my case professionally.,Low
What happens if I miss the fee deadline?,Medium
What documents are required for the admission process?,Medium
"My admit card was generated on time, thank you.",Low
How is the scholarship amount disbursed?,Medium
The library is closed during exam preparation time.,High
What is the procedure for exam form correction?,Medium
The placement training sessions were very useful.,Low
I was wrongly penalised for something I did not do.,High
Hostel Wi-Fi speed has improved a lot recently.,Low
I received my offer letter within 23 days of the interview.,Low
How do I file a formal complaint against a faculty member?,Medium
The examination fee was deducted but the form was not submitted.,High
What documents are required for the admission process?,Medium
I was not notified about the campus drive that happened yesterday.,High
The library is closed during exam preparation time.,High
The campus facilities have improved a lot this year.,Low
Staff at the help desk were very cooperative.,Low
How do I update my contact details on the portal?,Medium
"My scholarship was approved quickly, I am very grateful.",Low
What is the income limit for need-based scholarship?,Medium
My backlog exam date clashes with my regular exam schedule.,High
I appreciate the quick action taken on my grievance.,Low
What is the minimum CGPA required for placement registration?,Medium
The staff at the admission office was very helpful.,Low
The mess menu has improved significantly this month.,Low
I cannot find any information about the upcoming event.,High
I have been allotted a wrong exam centre far from my address.,High
"My refund was processed within 20 working days, thank you.",Low
Is there a government scholarship tie-up with this university?,Medium
How many seats are available in the Computer Science branch?,Medium
There has been no water supply in the hostel for 7 days.,High
The warden resolved my complaint within 9 hours.,Low
My merit list position was not updated even after re-verification.,High
What is the procedure to vacate the hostel at year end?,Medium
I was asked to submit documents twice but still no confirmation.,High
I appreciate the timely maintenance work done in my room.,Low
Can I escalate my complaint if it is not resolved?,Medium
Is laundry service available in the hostel?,Medium
The online payment system is very convenient.,Low
I submitted all documents but my application still shows incomplete.,High
How do I access the university Wi-Fi?,Medium
The fee portal worked smoothly and I received the receipt instantly.,Low
I appreciate the timely maintenance work done in my room.,Low
There has been no water supply in the hostel for 12 days.,High
I was declared ineligible for scholarship without any explanation.,High
What is the minimum CGPA required for placement registration?,Medium
What is the procedure for exam form correction?,Medium
I received my admission confirmation letter on time.,Low
Thank you for ensuring a safe environment in the hostel.,Low
"I received my ID card within 12 days, thank you.",Low
I appreciate the extended fee deadline during exam time.,Low
The placement cell kept us informed about every drive.,Low
Thank you for ensuring a safe environment in the hostel.,Low
What happens if I miss the fee deadline?,Medium
I have been allotted a wrong exam centre far from my address.,High
How do I get a duplicate ID card?,Medium
The transport bus schedule has changed without any notice.,High
Is there a scholarship for differently-abled students?,Medium
The pre-placement talk was cancelled without informing students.,High
My profile on the placement portal shows incorrect CGPA.,High
Is laundry service available in the hostel?,Medium
What is the exam form fill-up last date?,Medium
What is the exam form fill-up last date?,Medium
The merit scholarship process was transparent and fair.,Low
The scholarship cell staff helped me complete my application.,Low
The student affairs office handled my case professionally.,Low
What is the fee structure for international students?,Medium
The new student portal is very user-friendly.,Low
The staff at the admission office was very helpful.,Low
"My admit card was generated on time, thank you.",Low
Is there a government scholarship tie-up with this university?,Medium
My complaint was taken seriously and resolved within 8 days.,Low
The staff at the admission office was very helpful.,Low
I appreciate the timely maintenance work done in my room.,Low
I appreciate the timely maintenance work done in my room.,Low
My ID card has not been issued even after 4 weeks of joining.,High
Can I appear in exam if attendance is below 75 percent?,Medium
I cannot find any information about the upcoming event.,High
The new student portal is very user-friendly.,Low
My scholarship was cancelled despite fulfilling all criteria.,High
The transport bus schedule has changed without any notice.,High
I am being harassed by a senior student and no action is being taken.,High
When will the second merit list be published?,Medium
I received the scholarship amount before the semester began.,Low
My scholarship amount was deducted from my fee but still shows balance.,High
What scholarships are available for meritorious students?,Medium
The new student portal is very user-friendly.,Low
How do I register on the placement portal?,Medium
What is the fee structure for international students?,Medium
How do I download my fee receipt from the portal?,Medium
When does hostel allotment happen for new students?,Medium
My complaint was taken seriously and resolved within 20 days.,Low
Who is the grievance redressal officer?,Medium
What are the accepted modes of fee payment?,Medium
I appreciate the timely maintenance work done in my room.,Low
Is laundry service available in the hostel?,Medium
How do I access the university Wi-Fi?,Medium
The hostel room was clean and well-maintained on arrival.,Low
What is the monthly hostel fee for postgraduate students?,Medium
What are the library timings on weekends?,Medium
The staff at the admission office was very helpful.,Low
I cannot find any information about the upcoming event.,High
Is there an EMI option available for fee payment?,Medium
What is the academic calendar for this year?,Medium
I received my admission confirmation letter on time.,Low
The examination fee was deducted but the form was not submitted.,High
What are the hostel rules for late-night entry?,Medium
I was declared ineligible for scholarship without any explanation.,High
I got my corrected mark sheet within 15 days.,Low
When will campus placements begin this year?,Medium
What is the academic calendar for this year?,Low
The anti-ragging cell responded to my complaint immediately.,Low
What documents are needed for placement registration?,Medium
What is the academic calendar for this year?,Medium
I was declared ineligible for scholarship without any explanation.,High
The anti-ragging cell responded to my complaint immediately.,Low
The challan generated has incorrect details.,High
The mock interviews organised by placement cell were excellent.,Low
What are the transport routes available for students?,Medium
The pre-placement talk was cancelled without informing students.,High
"Result was declared faster than expected, appreciated.",Low
Is laundry service available in the hostel?,Medium
I was not allowed into the exam hall due to a portal error.,High
I appreciate the timely maintenance work done in my room.,Low
Admission office is not responding to my emails for 29 days.,High
What is the process for obtaining a migration certificate?,Medium
The staff at the admission office was very helpful.,Low
Hostel Wi-Fi speed has improved a lot recently.,Low
My resume was not shortlisted without any feedback.,High
I appreciate the extended fee deadline during exam time.,Low
Is air conditioning available in hostel rooms?,Medium
I was marked absent in the exam even though I was present.,High
My email ID was not created even after 21 weeks of registration.,High
The examination fee was deducted but the form was not submitted.,High
Is air conditioning available in hostel rooms?,Medium
My seat allotment was updated within 30 hours as promised.,Low
