query,intent,department,priority,sentiment
I was marked absent in the exam even though I was present.,Examination,Examination Department,High,Negative
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Medium,Neutral
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
What is the academic calendar for this year?,General,Help Desk,Low,Neutral
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Low,Positive
There is a case of ragging in my hostel block.,Complaint,Student Affairs,Medium,Negative
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Medium,Neutral
How can I get a duplicate fee receipt?,Finance,Finance Department,Low,Neutral
The examination fee was deducted but the form was not submitted.,Examination,Examination Department,High,Negative
My complaint was taken seriously and resolved within 16 days.,Complaint,Student Affairs,Medium,Positive
My fee refund has not been processed even after 18 months.,Finance,Finance Department,High,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Low,Neutral
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Medium,Neutral
My scholarship application has been pending for 20 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,Medium,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
When will the second merit list be published?,Admission,Admission Department,Low,Neutral
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,Medium,Negative
Can I change my branch after the first year?,Admission,Admission Department,Low,Neutral
The placement training sessions were very useful.,Placement,Placement Cell,Low,Positive
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,Medium,Negative
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Medium,Positive
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The library is closed during exam preparation time.,General,Help Desk,High,Negative
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
The staff at the admission office was very helpful.,Admission,Admission Department,Medium,Positive
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Low,Neutral
What is the refund policy for withdrawn students?,Finance,Finance Department,Medium,Neutral
How do I update my contact details on the portal?,General,Help Desk,Medium,Neutral
My grievance has been ignored by the department for 11 weeks.,Complaint,Student Affairs,Medium,Negative
When will the end semester exam schedule be released?,Examination,Examination Department,Low,Neutral
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Low,Positive
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Medium,Neutral
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Low,Positive
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,Medium,Negative
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Medium,Neutral
My merit list position was not updated even after re-verification.,Admission,Admission Department,High,Negative
Revaluation result is pending for over 4 months.,Examination,Examination Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Medium,Positive
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,Medium,Negative
The finance staff resolved my billing error quickly.,Finance,Finance Department,Medium,Positive
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
Where can I report a case of harassment?,Complaint,Student Affairs,Low,Neutral
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,High,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
Can I pay the fee in installments?,Finance,Finance Department,Medium,Neutral
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Low,Positive
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Low,Neutral
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,Medium,Negative
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
What action is taken against proven ragging cases?,Complaint,Student Affairs,Low,Neutral
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Low,Neutral
I got my corrected mark sheet within 27 days.,Examination,Examination Department,Low,Positive
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
The placement portal login is not working for me.,Placement,Placement Cell,High,Negative
Can final year students from all branches register?,Placement,Placement Cell,Medium,Neutral
Can I pay the fee in installments?,Finance,Finance Department,Medium,Neutral
How do I apply for a room change?,Hostel,Hostel Department,Low,Neutral
Is laundry service available in the hostel?,Hostel,Hostel Department,Medium,Neutral
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,Medium,Negative
Wi-Fi in the hostel has not been working for 15 days.,Hostel,Hostel Department,Medium,Negative
How do I update my contact details on the portal?,General,Help Desk,Low,Neutral
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
Who is the grievance redressal officer?,Complaint,Student Affairs,Low,Neutral
The library is closed during exam preparation time.,General,Help Desk,Medium,Negative
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Medium,Positive
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,Medium,Negative
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Low,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,High,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
How do I register on the placement portal?,Placement,Placement Cell,Low,Neutral
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,Medium,Negative
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
Which companies visited last year?,Placement,Placement Cell,Medium,Neutral
The challan generated has incorrect details.,Finance,Finance Department,High,Negative
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Medium,Neutral
What is the procedure to vacate the hostel at year end?,Hostel,Hostel Department,Low,Neutral
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,High,Negative
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
What is the income limit for need-based scholarship?,Scholarship,Scholarship Cell,Low,Neutral
My complaint was taken seriously and resolved within 13 days.,Complaint,Student Affairs,Medium,Positive
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
My email ID was not created even after 29 weeks of registration.,General,Help Desk,High,Negative
What are the transport routes available for students?,General,Help Desk,Low,Neutral
The exam timetable was changed without prior notice.,Examination,Examination Department,Medium,Negative
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Low,Neutral
"I got placed in a good company, thank you to the placement cell.",Placement,Placement Cell,Low,Positive
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Medium,Positive
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
When will campus placements begin this year?,Placement,Placement Cell,Low,Neutral
What is the fee structure for the new academic year?,Admission,Admission Department,Low,Neutral
My fee refund has not been processed even after 26 months.,Finance,Finance Department,High,Negative
What is the process for obtaining a migration certificate?,General,Help Desk,Medium,Neutral
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Low,Positive
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Medium,Positive
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
Is there an EMI option available for fee payment?,Finance,Finance Department,Low,Neutral
My application was rejected without any reason given.,Admission,Admission Department,Medium,Negative
"My refund was processed within 13 working days, thank you.",Finance,Finance Department,Low,Positive
When will the second merit list be published?,Admission,Admission Department,Medium,Neutral
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
I received my offer letter within 17 days of the interview.,Placement,Placement Cell,Low,Positive
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
My fee refund has not been processed even after 25 months.,Finance,Finance Department,Medium,Negative
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
"I got placed in a good company, thank you to the placement cell.",Placement,Placement Cell,Low,Positive
There has been no water supply in the hostel for 19 days.,Hostel,Hostel Department,Medium,Negative
The orientation program was well-organised.,General,Help Desk,Medium,Positive
The library is closed during exam preparation time.,General,Help Desk,Medium,Negative
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,High,Negative
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Medium,Positive
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
The staff at the admission office was very helpful.,Admission,Admission Department,Low,Positive
What documents are required for the admission process?,Admission,Admission Department,Medium,Neutral
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
The company I was placed in has deferred joining by 19 months.,Placement,Placement Cell,High,Negative
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,High,Negative
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
My grievance has been ignored by the department for 30 weeks.,Complaint,Student Affairs,Medium,Negative
My admission application has been pending for 4 weeks with no update.,Admission,Admission Department,Medium,Negative
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Low,Neutral
There is a case of ragging in my hostel block.,Complaint,Student Affairs,High,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Medium,Positive
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
My admission application has been pending for 11 weeks with no update.,Admission,Admission Department,High,Negative
My complaint was taken seriously and resolved within 21 days.,Complaint,Student Affairs,Low,Positive
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Low,Positive
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,Medium,Negative
Is there any concession for single-parent students?,Finance,Finance Department,Low,Neutral
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,High,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Medium,Neutral
How do I update my contact details on the portal?,General,Help Desk,Medium,Neutral
The fee receipt is not downloadable from the portal.,Finance,Finance Department,Medium,Negative
When will the end semester exam schedule be released?,Examination,Examination Department,Medium,Neutral
The challan generated has incorrect details.,Finance,Finance Department,High,Negative
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
The university website has been down for 3 days.,General,Help Desk,High,Negative
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,Medium,Negative
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,High,Negative
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Medium,Neutral
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The help desk is not responding to my queries.,General,Help Desk,High,Negative
What is the process to apply for revaluation?,Examination,Examination Department,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,Medium,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,Medium,Negative
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Low,Positive
I received my offer letter within 20 days of the interview.,Placement,Placement Cell,Low,Positive
My ID card has not been issued even after 30 weeks of joining.,General,Help Desk,Medium,Negative
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Low,Neutral
The placement cell has not updated the company list for this year.,Placement,Placement Cell,Medium,Negative
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,Medium,Negative
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,High,Negative
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Medium,Neutral
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,Medium,Negative
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
I cannot find any information about the upcoming event.,General,Help Desk,Medium,Negative
What is the academic calendar for this year?,General,Help Desk,Low,Neutral
What is the fee structure for international students?,Finance,Finance Department,Low,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Low,Positive
My admit card has not been generated even though exams start tomorrow.,Examination,Examination Department,Medium,Negative
What is the passing criteria for practical exams?,Examination,Examination Department,Medium,Neutral
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Medium,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,Medium,Negative
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Low,Neutral
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
My grade sheet shows incorrect marks for the third semester.,Examination,Examination Department,High,Negative
My admission application has been pending for 29 weeks with no update.,Admission,Admission Department,High,Negative
The company I was placed in has deferred joining by 19 months.,Placement,Placement Cell,High,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
The warden resolved my complaint within 27 hours.,Hostel,Hostel Department,Low,Positive
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Medium,Neutral
The exam timetable was changed without prior notice.,Examination,Examination Department,High,Negative
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
What is the process to apply for revaluation?,Examination,Examination Department,Low,Neutral
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,Medium,Negative
The company I was placed in has deferred joining by 28 months.,Placement,Placement Cell,High,Negative
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Low,Positive
What is the last date for admission form submission?,Admission,Admission Department,Medium,Neutral
The student affairs office handled my case professionally.,Complaint,Student Affairs,Low,Positive
The warden resolved my complaint within 11 hours.,Hostel,Hostel Department,Low,Positive
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,High,Negative
Is there a grace mark policy in the university?,Examination,Examination Department,Low,Neutral
"I got placed in a good company, thank you to the placement cell.",Placement,Placement Cell,Low,Positive
Which companies visited last year?,Placement,Placement Cell,Low,Neutral
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
Is laundry service available in the hostel?,Hostel,Hostel Department,Low,Neutral
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
What action is taken against proven ragging cases?,Complaint,Student Affairs,Medium,Neutral
Is there an EMI option available for fee payment?,Finance,Finance Department,Low,Neutral
The notice board has outdated information.,General,Help Desk,High,Negative
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,Medium,Negative
Can I pay the fee in installments?,Finance,Finance Department,Medium,Neutral
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Medium,Neutral
My scholarship application has been pending for 25 months with no update.,Scholarship,Scholarship Cell,High,Negative
How do I get a duplicate ID card?,General,Help Desk,Low,Neutral
Is there a provision for sports quota admission?,Admission,Admission Department,Low,Neutral
I was marked absent in the exam even though I was present.,Examination,Examination Department,Medium,Negative
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Medium,Neutral
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,Medium,Negative
How do I apply for a room change?,Hostel,Hostel Department,Low,Neutral
The placement portal login is not working for me.,Placement,Placement Cell,High,Negative
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
Where can I report a case of harassment?,Complaint,Student Affairs,Low,Neutral
"My admit card was generated on time, thank you.",Examination,Examination Department,Low,Positive
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,High,Negative
The placement portal login is not working for me.,Placement,Placement Cell,High,Negative
The orientation program was well-organised.,General,Help Desk,Low,Positive
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,Medium,Negative
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
Can I pay the fee in installments?,Finance,Finance Department,Medium,Neutral
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Low,Positive
My complaint submitted 30 days ago has not been acknowledged.,Complaint,Student Affairs,High,Negative
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
My merit list position was not updated even after re-verification.,Admission,Admission Department,High,Negative
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Medium,Positive
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
What is the fee structure for international students?,Finance,Finance Department,Medium,Neutral
The orientation program was well-organised.,General,Help Desk,Medium,Positive
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Medium,Neutral
The anti-ragging cell responded to my complaint immediately.,Complaint,Student Affairs,Medium,Positive
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Low,Neutral
The faculty is not conducting classes regularly.,Complaint,Student Affairs,High,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Medium,Positive
My transaction failed but the amount was debited from my account.,Finance,Finance Department,High,Negative
The warden resolved my complaint within 24 hours.,Hostel,Hostel Department,Medium,Positive
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
My grievance has been ignored by the department for 20 weeks.,Complaint,Student Affairs,Medium,Negative
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Low,Neutral
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Medium,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
The revaluation process was handled efficiently.,Examination,Examination Department,Medium,Positive
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
The library is closed during exam preparation time.,General,Help Desk,High,Negative
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
Admission office is not responding to my emails for 21 days.,Admission,Admission Department,High,Negative
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
I reported a maintenance issue 20 weeks ago but it is still unresolved.,Hostel,Hostel Department,Medium,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,Medium,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
How do I access the university Wi-Fi?,General,Help Desk,Medium,Neutral
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
The renewal form for scholarship is not available on the portal.,Scholarship,Scholarship Cell,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Low,Neutral
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
The library is closed during exam preparation time.,General,Help Desk,Medium,Negative
I was marked absent in the exam even though I was present.,Examination,Examination Department,High,Negative
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
What are the accepted modes of fee payment?,Finance,Finance Department,Medium,Neutral
The seat allotment letter has not been issued after 15 days of payment.,Admission,Admission Department,High,Negative
The notice board has outdated information.,General,Help Desk,High,Negative
What are the accepted modes of fee payment?,Finance,Finance Department,Low,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Medium,Positive
I reported a maintenance issue 11 weeks ago but it is still unresolved.,Hostel,Hostel Department,High,Negative
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
The help desk is not responding to my queries.,General,Help Desk,High,Negative
The student affairs office handled my case professionally.,Complaint,Student Affairs,Medium,Positive
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
How do I get a duplicate ID card?,General,Help Desk,Low,Neutral
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Medium,Positive
The warden resolved my complaint within 22 hours.,Hostel,Hostel Department,Medium,Positive
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Medium,Neutral
There is a case of ragging in my hostel block.,Complaint,Student Affairs,Medium,Negative
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Medium,Positive
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,High,Negative
What documents are required for the admission process?,Admission,Admission Department,Medium,Neutral
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
Can I pay the fee in installments?,Finance,Finance Department,Medium,Neutral
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Medium,Neutral
What is the refund policy for withdrawn students?,Finance,Finance Department,Low,Neutral
I got my corrected mark sheet within 3 days.,Examination,Examination Department,Medium,Positive
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Medium,Neutral
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Low,Positive
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
The company I was placed in has deferred joining by 25 months.,Placement,Placement Cell,High,Negative
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,Medium,Negative
Is laundry service available in the hostel?,Hostel,Hostel Department,Medium,Neutral
What is the procedure for exam form correction?,Examination,Examination Department,Low,Neutral
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Medium,Neutral
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Medium,Neutral
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Low,Neutral
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,Medium,Negative
The challan generated has incorrect details.,Finance,Finance Department,Medium,Negative
Which companies visited last year?,Placement,Placement Cell,Medium,Neutral
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
I have not received my offer letter even after 24 months of selection.,Placement,Placement Cell,High,Negative
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,High,Negative
The placement cell kept us informed about every drive.,Placement,Placement Cell,Low,Positive
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,Medium,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
The orientation program was well-organised.,General,Help Desk,Low,Positive
How do I register on the placement portal?,Placement,Placement Cell,Low,Neutral
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
The challan generated has incorrect details.,Finance,Finance Department,High,Negative
My admit card has not been generated even though exams start tomorrow.,Examination,Examination Department,High,Negative
My seat allotment was updated within 20 hours as promised.,Admission,Admission Department,Medium,Positive
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
Is there an EMI option available for fee payment?,Finance,Finance Department,Low,Neutral
The faculty is not conducting classes regularly.,Complaint,Student Affairs,High,Negative
Is there a training program before placements?,Placement,Placement Cell,Low,Neutral
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Medium,Positive
The placement training sessions were very useful.,Placement,Placement Cell,Medium,Positive
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,High,Negative
Is laundry service available in the hostel?,Hostel,Hostel Department,Low,Neutral
"My refund was processed within 29 working days, thank you.",Finance,Finance Department,Low,Positive
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Medium,Positive
When will the end semester exam schedule be released?,Examination,Examination Department,Medium,Neutral
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,High,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
My ID card has not been issued even after 21 weeks of joining.,General,Help Desk,High,Negative
What is the process for obtaining a migration certificate?,General,Help Desk,Medium,Neutral
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
My email ID was not created even after 3 weeks of registration.,General,Help Desk,High,Negative
How do I check my admission status online?,Admission,Admission Department,Medium,Neutral
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Medium,Neutral
Is off-campus placement assistance provided?,Placement,Placement Cell,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Low,Neutral
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
My complaint was taken seriously and resolved within 24 days.,Complaint,Student Affairs,Medium,Positive
How do I apply for a room change?,Hostel,Hostel Department,Medium,Neutral
The university website has been down for 14 days.,General,Help Desk,Medium,Negative
Is there an anonymous complaint submission option?,Complaint,Student Affairs,Medium,Neutral
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Low,Positive
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,High,Negative
I cannot find any information about the upcoming event.,General,Help Desk,High,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Medium,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Medium,Neutral
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Low,Positive
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
Is laundry service available in the hostel?,Hostel,Hostel Department,Low,Neutral
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Low,Neutral
The notice board has outdated information.,General,Help Desk,High,Negative
"My admit card was generated on time, thank you.",Examination,Examination Department,Medium,Positive
How do I download my admit card from the portal?,Examination,Examination Department,Medium,Neutral
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,Medium,Negative
What is the procedure to vacate the hostel at year end?,Hostel,Hostel Department,Medium,Neutral
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,High,Negative
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,Medium,Negative
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
The seat allotment letter has not been issued after 19 days of payment.,Admission,Admission Department,High,Negative
