query,sentiment
"My scholarship was approved quickly, I am very grateful.",Positive
I cannot find any information about the upcoming event.,Negative
Is there a provision for sports quota admission?,Neutral
I received my admission confirmation letter on time.,Positive
The exam schedule was shared well in advance this time.,Positive
"Thank you, my admission documents were verified quickly.",Positive
"My scholarship was approved quickly, I am very grateful.",Positive
What is the income limit for need-based scholarship?,Neutral
I received the scholarship amount before the semester began.,Positive
"My refund was processed within 23 working days, thank you.",Positive
"My refund was processed within 16 working days, thank you.",Positive
I got my corrected mark sheet within 24 days.,Positive
The hostel room was clean and well-maintained on arrival.,Positive
My internal marks have not been updated for 13 subjects.,Negative
I was threatened by a classmate and reported it but nothing happened.,Negative
Staff at the help desk were very cooperative.,Positive
My complaint was taken seriously and resolved within 25 days.,Positive
My grievance has been ignored by the department for 8 weeks.,Negative
Is laundry service available in the hostel?,Neutral
I am being harassed by a senior student and no action is being taken.,Negative
What are the hostel rules for late-night entry?,Neutral
My email ID was not created even after 14 weeks of registration.,Negative
I appreciate the extended fee deadline during exam time.,Positive
What clubs and societies are active this semester?,Neutral
What is the procedure to vacate the hostel at year end?,Neutral
I was removed from the placement list due to a clerical error.,Negative
The finance staff resolved my billing error quickly.,Positive
When is the scholarship application portal open?,Neutral
The merit scholarship process was transparent and fair.,Positive
I have not received my offer letter even after 17 months of selection.,Negative
The help desk is not responding to my queries.,Negative
The fee receipt is not downloadable from the portal.,Negative
I reported a maintenance issue 19 weeks ago but it is still unresolved.,Negative
The company I was placed in has deferred joining by 26 months.,Negative
Wi-Fi in the hostel has not been working for 6 days.,Negative
Is there a training program before placements?,Neutral
What is the academic calendar for this year?,Neutral
The merit scholarship process was transparent and fair.,Positive
Thank you for processing my scholarship renewal on time.,Positive
The notice board has outdated information.,Negative
When is the scholarship application portal open?,Neutral
Is there a training program before placements?,Neutral
"I got placed in a good company, thank you to the placement cell.",Positive
Can I escalate my complaint if it is not resolved?,Neutral
The mess food quality has deteriorated significantly.,Negative
What is the fee structure for the new academic year?,Neutral
Is there a training program before placements?,Neutral
What is the exam form fill-up last date?,Neutral
Is there any concession for single-parent students?,Neutral
How do I register on the placement portal?,Neutral
"Result was declared faster than expected, appreciated.",Positive
Is there any concession for single-parent students?,Neutral
"Thank you, my admission documents were verified quickly.",Positive
I got my corrected mark sheet within 4 days.,Positive
The staff at the admission office was very helpful.,Positive
The placement cell kept us informed about every drive.,Positive
I was threatened by a classmate and reported it but nothing happened.,Negative
I missed the counselling round due to no notification from the portal.,Negative
Revaluation result is pending for over 14 months.,Negative
The merit scholarship process was transparent and fair.,Positive
My profile on the placement portal shows incorrect CGPA.,Negative
What is the fee structure for international students?,Neutral
The hostel room allotted to me is not clean.,Negative
Is there a training program before placements?,Neutral
How do I download my fee receipt from the portal?,Neutral
My profile on the placement portal shows incorrect CGPA.,Negative
I have not received any communication regarding my scholarship status.,Negative
"I received my ID card within 16 days, thank you.",Positive
The university website has been down for 23 days.,Negative
There is a case of ragging in my hostel block.,Negative
I submitted all documents but my application still shows incomplete.,Negative
My transaction failed but the amount was debited from my account.,Negative
The hostel room was clean and well-maintained on arrival.,Positive
Is off-campus placement assistance provided?,Neutral
Is there a provision for sports quota admission?,Neutral
I cannot find any information about the upcoming event.,Negative
The finance staff resolved my billing error quickly.,Positive
The anti-ragging cell responded to my complaint immediately.,Positive
The scholarship cell staff helped me complete my application.,Positive
My complaint was taken seriously and resolved within 3 days.,Positive
The scholarship amount was not credited to my account this semester.,Negative
Is there a training program before placements?,Neutral
How is the scholarship amount disbursed?,Neutral
What is the procedure for the internal complaints committee?,Neutral
What is the monthly hostel fee for postgraduate students?,Neutral
I received my admission confirmation letter on time.,Positive
The renewal form for scholarship is not available on the portal.,Negative
How do I apply for a bonafide certificate?,Neutral
My email ID was not created even after 9 weeks of registration.,Negative
Thank you for processing my scholarship renewal on time.,Positive
I appreciate the timely maintenance work done in my room.,Positive
The admission process was smooth and well-organised this year.,Positive
My complaint submitted 27 days ago has not been acknowledged.,Negative
The mess menu has improved significantly this month.,Positive
My scholarship amount was deducted from my fee but still shows balance.,Negative
I am being harassed by a senior student and no action is being taken.,Negative
What is the last date for admission form submission?,Neutral
Staff at the help desk were very cooperative.,Positive
What scholarships are available for meritorious students?,Neutral
What is the passing criteria for practical exams?,Neutral
I have been charged hostel fee even though I am a day scholar.,Negative
I was declared ineligible for scholarship without any explanation.,Negative
The mess menu has improved significantly this month.,Positive
"My admit card was generated on time, thank you.",Positive
What clubs and societies are active this semester?,Neutral
How do I file a formal complaint against a faculty member?,Neutral
The warden resolved my complaint within 9 hours.,Positive
I was denied entry to the hostel without any valid reason.,Negative
Revaluation result is pending for over 26 months.,Negative
Is there a training program before placements?,Neutral
"I received my ID card within 5 days, thank you.",Positive
My resume was not shortlisted without any feedback.,Negative
I am being harassed by a senior student and no action is being taken.,Negative
The pre-placement talk was cancelled without informing students.,Negative
How do I register on the placement portal?,Neutral
The placement portal login is not working for me.,Negative
My grade sheet shows incorrect marks for the third semester.,Negative
When will campus placements begin this year?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
The placement cell kept us informed about every drive.,Positive
The placement training sessions were very useful.,Positive
"I got placed in a good company, thank you to the placement cell.",Positive
I received the scholarship amount before the semester began.,Positive
How do I download my fee receipt from the portal?,Neutral
I have been charged hostel fee even though I am a day scholar.,Negative
What are the transport routes available for students?,Neutral
The mess food quality has deteriorated significantly.,Negative
There is a spelling mistake in my name on the hall ticket.,Negative
What documents are required for the admission process?,Neutral
The seat allotment letter has not been issued after 2 days of payment.,Negative
Hostel Wi-Fi speed has improved a lot recently.,Positive
What documents are required for scholarship application?,Neutral
How do I get a duplicate ID card?,Neutral
The admission process was smooth and well-organised this year.,Positive
"My scholarship was approved quickly, I am very grateful.",Positive
What are the transport routes available for students?,Neutral
The new student portal is very user-friendly.,Positive
The placement cell has not updated the company list for this year.,Negative
I was wrongly penalised for something I did not do.,Negative
The common bathroom tiles are broken and pose a safety risk.,Negative
"I got placed in a good company, thank you to the placement cell.",Positive
How is the scholarship amount disbursed?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
"There are insects in the mess food, this is unacceptable.",Negative
"Result was declared faster than expected, appreciated.",Positive
Where is the medical centre located on campus?,Neutral
The examination fee was deducted but the form was not submitted.,Negative
When will the second merit list be published?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
How do I register on the placement portal?,Neutral
What is the procedure for exam form correction?,Neutral
The mock interviews organised by placement cell were excellent.,Positive
My profile on the placement portal shows incorrect CGPA.,Negative
The notice board has outdated information.,Negative
What scholarships are available for meritorious students?,Neutral
My seat allotment was updated within 28 hours as promised.,Positive
My application was rejected without any reason given.,Negative
What are the library timings on weekends?,Neutral
How many attempts are allowed for a backlog paper?,Neutral
What documents are needed for placement registration?,Neutral
The mess menu has improved significantly this month.,Positive
My ID card has not been issued even after 13 weeks of joining.,Negative
The warden resolved my complaint within 13 hours.,Positive
The online payment system is very convenient.,Positive
The university website has been down for 17 days.,Negative
The faculty is not conducting classes regularly.,Negative
What is the process to apply for hostel accommodation?,Neutral
I received the scholarship amount before the semester began.,Positive
What scholarships are available for meritorious students?,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Negative
The revaluation process was handled efficiently.,Positive
The hostel room was clean and well-maintained on arrival.,Positive
The mess menu has improved significantly this month.,Positive
Can I appear in exam if attendance is below 75 percent?,Neutral
The placement cell has not updated the company list for this year.,Negative
There has been no water supply in the hostel for 17 days.,Negative
The fee portal worked smoothly and I received the receipt instantly.,Positive
How do I apply for a bonafide certificate?,Neutral
I appreciate the timely maintenance work done in my room.,Positive
There is a case of ragging in my hostel block.,Negative
Can final year students from all branches register?,Neutral
The anti-ragging cell responded to my complaint immediately.,Positive
There is a case of ragging in my hostel block.,Negative
When is the scholarship application portal open?,Neutral
My seat allotment was updated within 30 hours as promised.,Positive
I got my corrected mark sheet within 18 days.,Positive
Can I change my branch after the first year?,Neutral
I have not received any communication regarding my scholarship status.,Negative
How many attempts are allowed for a backlog paper?,Neutral
My internal marks have not been updated for 21 subjects.,Negative
I appreciate the timely maintenance work done in my room.,Positive
The notice board has outdated information.,Negative
Which companies visited last year?,Neutral
The finance staff resolved my billing error quickly.,Positive
How do I file a formal complaint against a faculty member?,Neutral
Is there a scholarship for differently-abled students?,Neutral
My seat allotment was updated within 13 hours as promised.,Positive
"My refund was processed within 26 working days, thank you.",Positive
"I got placed in a good company, thank you to the placement cell.",Positive
The fee portal worked smoothly and I received the receipt instantly.,Positive
What documents are needed for placement registration?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
What are the accepted modes of fee payment?,Neutral
My admission application has been pending for 29 weeks with no update.,Negative
Hostel Wi-Fi speed has improved a lot recently.,Positive
My internal marks have not been updated for 24 subjects.,Negative
What is the renewal process for continuing scholarship?,Neutral
The admission portal keeps showing an error when I try to submit my form.,Negative
How do I access the university Wi-Fi?,Neutral
The company I was placed in has deferred joining by 20 months.,Negative
When will semester results be declared?,Neutral
The library is closed during exam preparation time.,Negative
When will the second merit list be published?,Neutral
What documents are needed for placement registration?,Neutral
What scholarships are available for meritorious students?,Neutral
The mess menu has improved significantly this month.,Positive
I missed the counselling round due to no notification from the portal.,Negative
The challan generated has incorrect details.,Negative
Are there any internship opportunities through the placement cell?,Neutral
Where can I report a case of harassment?,Neutral
What items are allowed and not allowed in the hostel?,Neutral
Revaluation result is pending for over 24 months.,Negative
"Thank you, my admission documents were verified quickly.",Positive
I have not received my offer letter even after 24 months of selection.,Negative
What is the procedure for exam form correction?,Neutral
The mess menu has improved significantly this month.,Positive
The anti-ragging committee is not accessible to students.,Negative
The campus facilities have improved a lot this year.,Positive
What scholarships are available for meritorious students?,Neutral
How do I update my contact details on the portal?,Neutral
Is there a training program before placements?,Neutral
The scholarship cell staff helped me complete my application.,Positive
My email ID was not created even after 6 weeks of registration.,Negative
What action is taken against proven ragging cases?,Neutral
A faculty member is giving biased marks to certain students.,Negative
Which companies visited last year?,Neutral
What are the accepted modes of fee payment?,Neutral
What is the procedure for exam form correction?,Neutral
"Thank you, my admission documents were verified quickly.",Positive
Hostel Wi-Fi speed has improved a lot recently.,Positive
The mess food quality has deteriorated significantly.,Negative
How long does it take to resolve a grievance?,Neutral
The notice board has outdated information.,Negative
How do I update my contact details on the portal?,Neutral
The common bathroom tiles are broken and pose a safety risk.,Negative
The anti-ragging cell responded to my complaint immediately.,Positive
Revaluation result is pending for over 18 months.,Negative
The anti-ragging committee is not accessible to students.,Negative
"My refund was processed within 19 working days, thank you.",Positive
Is there an anonymous complaint submission option?,Neutral
The renewal form for scholarship is not available on the portal.,Negative
I have been charged hostel fee even though I am a day scholar.,Negative
How can I get a duplicate fee receipt?,Neutral
My scholarship amount was deducted from my fee but still shows balance.,Negative
What is the procedure to vacate the hostel at year end?,Neutral
The scholarship portal is not accepting my Aadhaar number.,Negative
How many attempts are allowed for a backlog paper?,Neutral
"I received my ID card within 7 days, thank you.",Positive
My seat allotment was updated within 24 hours as promised.,Positive
The exam timetable was changed without prior notice.,Negative
How do I download my admit card from the portal?,Neutral
My result shows fail but I had submitted all answers correctly.,Negative
I submitted all documents but my application still shows incomplete.,Negative
I have not received any communication regarding my scholarship status.,Negative
The placement cell kept us informed about every drive.,Positive
I paid the fee online but the portal still shows dues pending.,Negative
I submitted all documents but my admission status still shows incomplete.,Negative
"My refund was processed within 22 working days, thank you.",Positive
My scholarship was cancelled despite fulfilling all criteria.,Negative
"My refund was processed within 16 working days, thank you.",Positive
The student affairs office handled my case professionally.,Positive
What is the last date for fee payment this semester?,Neutral
The merit scholarship process was transparent and fair.,Positive
I was denied entry to the hostel without any valid reason.,Negative
Thank you for ensuring a safe environment in the hostel.,Positive
I received my offer letter within 7 days of the interview.,Positive
My transaction failed but the amount was debited from my account.,Negative
How can I get a duplicate fee receipt?,Neutral
The challan generated has incorrect details.,Negative
Wi-Fi in the hostel has not been working for 19 days.,Negative
My profile on the placement portal shows incorrect CGPA.,Negative
What was the highest package offered last year?,Neutral
A faculty member is giving biased marks to certain students.,Negative
The mess menu has improved significantly this month.,Positive
"My admit card was generated on time, thank you.",Positive
Can I pay the fee in installments?,Neutral
The finance staff resolved my billing error quickly.,Positive
What are the accepted modes of fee payment?,Neutral
I was removed from the placement list due to a clerical error.,Negative
The renewal form for scholarship is not available on the portal.,Negative
Thank you for ensuring a safe environment in the hostel.,Positive
Wrong fee head was applied to my account causing confusion.,Negative
What is the procedure for the internal complaints committee?,Neutral
I was charged late fee even though I paid before the deadline.,Negative
The hostel room allotted to me is not clean.,Negative
The finance staff resolved my billing error quickly.,Positive
How many attempts are allowed for a backlog paper?,Neutral
The fee portal worked smoothly and I received the receipt instantly.,Positive
How do I download my admit card from the portal?,Neutral
My seat allotment was updated within 12 hours as promised.,Positive
How do I download my admit card from the portal?,Neutral
How is the scholarship amount disbursed?,Neutral
There has been no water supply in the hostel for 11 days.,Negative
I appreciate the timely maintenance work done in my room.,Positive
The student affairs office handled my case professionally.,Positive
What is the procedure for exam form correction?,Neutral
The placement cell has not updated the company list for this year.,Negative
Is there any concession for single-parent students?,Neutral
The mess menu has improved significantly this month.,Positive
What is the income limit for need-based scholarship?,Neutral
What is the passing criteria for practical exams?,Neutral
What is the minimum CGPA required for placement registration?,Neutral
Are there any internship opportunities through the placement cell?,Neutral
Is direct admission available for lateral entry students?,Neutral
How do I update my contact details on the portal?,Neutral
How do I download my fee receipt from the portal?,Neutral
The fee portal worked smoothly and I received the receipt instantly.,Positive
I was charged late fee even though I paid before the deadline.,Negative
The notice board has outdated information.,Negative
I was removed from the placement list due to a clerical error.,Negative
My complaint submitted 9 days ago has not been acknowledged.,Negative
"My admit card was generated on time, thank you.",Positive
My application was rejected without any reason given.,Negative
Thank you for processing my scholarship renewal on time.,Positive
Is air conditioning available in hostel rooms?,Neutral
How do I get a duplicate ID card?,Neutral
The merit scholarship process was transparent and fair.,Positive
What are the hostel rules for late-night entry?,Neutral
The mess food quality has deteriorated significantly.,Negative
Are there any internship opportunities through the placement cell?,Neutral
The renewal form for scholarship is not available on the portal.,Negative
What is the minimum CGPA required for placement registration?,Neutral
What is the academic calendar for this year?,Neutral
I have been allotted a wrong exam centre far from my address.,Negative
I was denied entry to the hostel without any valid reason.,Negative
The transport bus schedule has changed without any notice.,Negative
The renewal form for scholarship is not available on the portal.,Negative
My admit card has not been generated even though exams start tomorrow.,Negative
"Result was declared faster than expected, appreciated.",Positive
How do I update my contact details on the portal?,Neutral
I appreciate the timely maintenance work done in my room.,Positive
The finance department is not responding to my refund request.,Negative
The scholarship cell staff helped me complete my application.,Positive
"My admit card was generated on time, thank you.",Positive
The student affairs office handled my case professionally.,Positive
I received my admission confirmation letter on time.,Positive
What is the exam form fill-up last date?,Neutral
