question,answer
Is there a provision for credit transfer from another university?,Credit transfer is possible for approved exchange students. Credits are evaluated by the academic committee on a case-by-case basis.
How are CGPA and SGPA calculated?,SGPA is the grade point average for a single semester weighted by credit hours. CGPA is the cumulative average across all semesters.
What is the maximum number of subjects I can register for?,Students can register for a maximum of seven subjects per semester including lab and elective subjects.
How do I get the syllabus for my programme?,The syllabus is available on the academic portal under your programme page and can also be obtained from the department office.
Is there a provision for semester freeze?,Semester freeze is available in genuine cases such as medical emergencies. Apply to the dean with supporting documents before the semester starts.
What is the dual degree programme?,Dual degree programmes allow students to earn two degrees simultaneously. Check the academic portal for available combinations and eligibility.
How do I join a student club or society?,Club registrations are open at the start of each academic year. Visit the student affairs office or club stalls during orientation week.
What is the anti-plagiarism policy?,The university uses plagiarism detection software. Submissions above the allowed similarity threshold result in grade penalties or disciplinary action.
How do I access the academic calendar?,The academic calendar is published at the start of each academic year and is available on the university website and student portal.
Is there any provision for a fast-track degree?,Fast-track degree options are not available for regular students. Additional courses can be taken as open electives or audit courses.
What is an audit course?,"An audit course is taken for learning without credit. No grades are awarded, but attendance and completion may be noted on the transcript."
How do I request a recommendation letter from a faculty member?,Approach the faculty member personally with your request at least 3 weeks before the deadline. Provide your CV and a brief description of the need.
What is the process for changing my registered programme?,Programme change requests are considered at the end of the first year based on merit and seat availability. Apply to the dean's office.
Are there any short-term certification courses offered?,"Yes, the university offers short-term certification courses in collaboration with industry partners. Check the continuing education portal for listings."
How do I get a consolidated mark sheet?,Apply for a consolidated mark sheet at the examination section after completing all semesters. It is issued within 7 working days.
Where is the university medical centre located?,"The medical centre is located near the main administrative block. It provides first aid, basic OPD services, and referrals to empanelled hospitals."
What are the medical centre timings?,The medical centre is open Monday to Saturday from 9 AM to 5 PM. Emergency contact numbers are displayed at the hostel notice boards.
Is there a counsellor available on campus?,"Yes, the student wellness centre has qualified counsellors available for appointment. You can book a session through the student portal."
What should I do in a medical emergency on campus?,Call the campus emergency number displayed across campus. The medical team and security staff will respond immediately.
Is health insurance provided to students?,"Yes, group health insurance is provided to all enrolled students. Insurance details and the claim process are available at the medical centre."
How do I get a medical certificate from the university doctor?,Visit the medical centre with your student ID. The doctor will issue a certificate after examination. It is accepted for attendance condonation.
Is there a pharmacy on campus?,"Yes, a pharmacy is located adjacent to the medical centre and is stocked with basic medicines and first aid supplies."
Are there yoga or fitness classes available?,"Yes, yoga and fitness classes are conducted by the sports department. Schedule and registration details are on the student portal."
What mental health resources are available for students?,"The student wellness centre offers individual counselling, group sessions, and stress management workshops throughout the academic year."
How do I report a fellow student who appears to be in distress?,Contact the student wellness centre or any faculty member immediately. Anonymous reporting is also available on the student portal.
Is dental care available at the medical centre?,Basic dental consultation is available at the medical centre on specific days. A referral is provided for advanced dental treatment.
What is the procedure for claiming health insurance?,"Obtain a claim form from the medical centre, fill it with treatment details and bills, and submit to the insurance desk for processing."
Are COVID or vaccination camps organised on campus?,The university coordinates with district health authorities for periodic vaccination camps. Notifications are sent via the student portal.
What anti-ragging helpline numbers are available?,The University Grants Commission anti-ragging helpline number is 1800-180-5522. The university also has an internal anti-ragging committee.
Is there a grievance redressal mechanism for student welfare?,"Yes, the student affairs office handles welfare grievances. Students can also submit complaints online through the student portal grievance section."
